Number,Chapter,School,District,Founding Date
197,Theta Epsilon,University of Kentucky,North Central,10/6/1984
198,Theta Zeta,Ashland University,North Central,2/2/1985
199,Theta Eta,University of Louisville,North Central,7/20/1985
200,Theta Theta,University of Alabama at Birmingham,Southeast,2/21/1986
201,Theta Iota,Baker University,Midwest,3/2/1986
202,Theta Kappa,Tarleton State University,Southwest,3/13/1986
203,Theta Lambda,University of Memphis,Southeast,10/19/1986
204,Theta Mu,Johnson C. Smith University,Southeast,10/19/1986
205,Theta Nu,Northwestern State University of Louisiana,Southwest,11/21/1986
206,Theta Xi,Southern Connecticut State University,Northeast,4/10/1987
207,Theta Omicron,Georgia Southwestern State University,Southeast,5/3/1987
208,Theta Pi,Brigham Young University,Western,5/27/1987
209,Theta Rho,Lincoln University,Midwest,12/3/1987
210,Theta Sigma,Fairmont State University,Northeast,12/4/1987
211,Theta Tau,Fayetteville State University,Southeast,2/7/1988
212,Theta Upsilon,University of Rhode Island,Northeast,2/21/1988
213,Theta Phi,Henderson State University,Southwest,3/8/1988
214,Theta Chi,Livingstone College,Southeast,4/22/1988
215,Theta Psi,Virginia Union University,Northeast,4/25/1988
216,Theta Omega,University of North Alabama,Southeast,4/29/1988
217,Iota Alpha,California State University at Fresno,Western,4/30/1988
218,Iota Beta,Alcorn State University,Southeast,2/4/1989
219,Iota Gamma,Washington State University,Western,4/1/1989
220,Iota Delta,Towson University,Northeast,4/8/1989
221,Iota Epsilon,Cumberland College,North Central,2/25/1990
222,Iota Zeta,North Carolina A & T State University,Southeast,2/24/1990
223,Iota Eta,Waynesburg College,Northeast,3/30/1990
224,Iota Theta,Morehouse College,Southeast,4/7/1990
225,Iota Iota,Utah State University,Western,4/13/1990
226,Iota Kappa,Boise State University,Western,4/14/1990
227,Iota Lambda,University of Mount Union,North Central,5/2/1990
228,Iota Mu,Kentucky State University,North Central,5/6/1990
229,Iota Nu,Alabama A & M University,Southeast,10/21/1990
230,Iota Xi,Norfolk State University,Northeast,3/14/1991
231,Iota Omicron,Appalachian State University,Southeast,9/29/1991
232,Iota Pi,"California Polytechnic State University, SLO",Western,4/5/1992
233,Iota Rho,Morris Brown College,Southeast,5/9/1992
234,Iota Sigma,Blinn College,Southwest,6/11/1992
235,Iota Tau,Clark Atlanta University,Southeast,2/7/1993
236,Iota Upsilon,McNeese State University,Southwest,3/20/1993
237,Iota Phi,University of New Hampshire,Northeast,5/8/1993
238,Iota Chi,Youngstown State University,North Central,11/14/1993
239,Iota Psi,University of Nebraska at Kearney,Midwest,12/5/1993
240,Iota Omega,Iowa State University,Midwest,3/19/1994
241,Kappa Alpha,University of Minnesota,Midwest,10/16/1994
242,Kappa Beta,Clemson University,Southeast,10/30/1994
243,Kappa Gamma,Lehigh University,Northeast,1/28/1995
244,Kappa Delta,Northwest Missouri State University,Midwest,2/26/1995
245,Kappa Epsilon,Shenandoah University,Northeast,11/26/1995
246,Kappa Zeta,Wake Forest University,Southeast,2/3/1996
247,Kappa Eta,S.U.N.Y 45 Buffalo,Northeast,2/24/1996
248,Kappa Theta,Liberty University,Northeast,5/4/1997
249,Kappa Iota,University of Nebraska at Omaha,Midwest,12/6/1997
250,Kappa Kappa,Miles College,Southeast,4/18/1998
251,Kappa Lambda,Winston-Salem State University,Southeast,3/14/1999
252,Kappa Mu,University of Georgia,Southeast,4/22/1999
253,Kappa Nu,Northern Illinois University,North Central,4/25/1999
254,Kappa Xi,Northeastern Oklahoma A & M College,Southwest,6/1/2000
255,Kappa Omicron,Stillman College,Southeast,10/29/2000
256,Kappa Pi,Claflin University,Southeast,2/24/2001
257,Kappa Rho,Duquesne University,Northeast,3/11/2001
258,Kappa Sigma,East Carolina University,Southeast,3/25/2001
259,Kappa Tau,University of South Florida,Southeast,4/13/2001
260,Kappa Upsilon,Marist College,Northeast,5/6/2001
261,Kappa Phi,East Texas Baptist University,Southwest,4/19/2002
262,Kappa Chi,Albion College,North Central,4/20/2002
263,Kappa Psi,Virginia Commonwealth University,Northeast,4/28/2002
264,Kappa Omega,Northern Kentucky University,North Central,5/18/2002
265,Lambda Alpha,"University of California, Irvine",Western,6/1/2002
266,Lambda Beta,Charleston Southern University,Southeast,4/27/2003
267,Lambda Gamma,Florida International University,Southeast,5/31/2003
268,Lambda Delta,Shippensburg University,Northeast,7/11/2003
269,Lambda Epsilon,Ouachita Baptist University,Southwest,10/26/2003
270,Lambda Zeta,Fort Valley State University,Southeast,12/7/2003
271,Lambda Eta,University of West Georgia,Southeast,6/14/2004
272,Lambda Theta,Coastal Carolina University,Southeast,11/2/2004
273,Lambda Iota,Tiffin University,North Central,12/5/2004
274,Lambda Kappa,University of Arkansas 45 Fort Smith,Southwest,2/21/2005
275,Lambda Lambda,Indiana State University,North Central,2/27/2005
276,Lambda Mu,East Tennessee State University,Southeast,5/7/2005
277,Lambda Nu,Sacred Heart University,Northeast,5/21/2005
278,Lambda Xi,Southeastern Louisiana University,Southwest,1/22/2006
279,Lambda Omicron,Valdosta State University,Southeast,3/25/2006
280,Lambda Pi,University of Texas at Tyler,Southwest,4/15/2006
281,Lambda Rho,Tennessee Tech University,Southeast,5/6/2006
282,Lambda Sigma,Coahoma Community College,Southeast,5/13/2006
283,Lambda Tau,Central Michigan University,North Central,11/5/2006
284,Lambda Upsilon,Savannah State University,Southeast,11/5/2006
285,Lambda Phi,Kean University,Northeast,12/2/2006
286,Lambda Chi,Quincy University,North Central,12/9/2006
287,Lambda Psi,San Jose State University,Western,3/23/2007
288,Lambda Omega,Northwestern Oklahoma State University,Southwest,4/28/2007
289,Mu Alpha,McKendree University,North Central,5/6/2007
290,Mu Beta,Florida Atlantic University,Southeast,6/9/2007
291,Mu Gamma,Houston Baptist University,Southwest,11/4/2007
292,Mu Delta,Western Michigan University,North Central,2/29/2008
293,Mu Epsilon,East Stroudsburg University,Northeast,5/2/2008
294,Mu Zeta,Diablo Valley College,Western,5/11/2008
295,Mu Eta,University of North Carolina at Chapel Hill,Southeast,9/6/2008
296,Mu Theta,Bethel University,Southeast,11/22/2008
297,Mu Iota,Jacksonville State University,Southeast,3/1/2009
298,Mu Kappa,Grand Valley State University,North Central,4/18/2009
299,Mu Lambda,University of Mary Hardin-Baylor,Southwest,4/24/2009
300,Mu Mu,University of Central Oklahoma,Southwest,4/26/2009
301,Mu Nu,Christopher Newport University,Northeast,5/2/2009
302,Mu Xi,Muhlenberg College,Northeast,5/8/2009
303,Mu Omicron,George Mason University,Northeast,12/5/2009
304,Mu Pi,University of Oregon,Western,2/14/2010
305,Mu Rho,Benedict College,Southeast,3/21/2010
306,Mu Sigma,Lincoln University,Northeast,4/3/2010
307,Mu Tau,University of Texas at San Antonio,Southwest,4/24/2010
308,Mu Upsilon,Florida Gulf Coast University,Southeast,5/1/2010
309,Mu Phi,Fullerton College,Western,10/3/2010
310,Mu Chi,University of Texas Rio Grande Valley,Southwest,11/20/2010
311,Mu Psi,Texas College,Southwest,2/19/2011
312,Mu Omega,Huntingdon College,Southeast,2/27/2011
313,Nu Alpha,Georgia State University,Southeast,11/28/2011
314,Nu Beta,Texas Wesleyan University,Southwest,3/4/2012
